screen_name,sentiment_label
EA9625,0
RogerCorman,0
edu,1
ally24601,0
HeriethPaul,1
zentients,1
ButeoBooks,1
PHILLYGOBLIN,1
spaceymaci,1
SHANEAVELI,1
waialoha,1
CaitlinFichtel,0
alexstrohl,1
LaTonyaHolmes,0
jandooo_,1
researchinator,0
Genobaby05,1
Hurelmaud,1
PoppyBlaseioDDS,1
CES_Hulley,1
rnbmom,1
Sardinha17,1
stif1901,1
LadyKateBond,0
maggie_rose505,0
hodgali05,1
MaiconSales8,1
changblue5,1
colinz226,1
aizome_jp,1
ersinnasuhikaya,1
suzupin,1
y66m83h11,0
AMAntonsonPhD,1
2PMule_4,1
bobsaget,0
austintylerro,0
blacklawpodcast,0
fentonvictoria,1
xlPowerS2,1
vitorbelfort,1
CorentinFlatrs,0
alicecooper,1
FrolovYulij,0
DIDO_DM,1
HippyHill_,1
hansome457,1
pqcwgttzhfhjd31,1
pasala15,1
tauanegarcia_,1
ekdikeo,0
ashleyrosefvr,0
EthanJestal,1
delvecchiograce,0
Imapioneer,1
marcotravaglio,0
davidmweissman,0
mottdrizzle,1
jassi_kbr,0
616086499Yyn,1
wzagotbyldelw11,1
kentbrew,0
SethNoma,1
laboulett,1
rosafiore13,1
Mohamed_Habib_T,1
brianfriedman,1
abo_slmann,1
RobynB423,0
MrDesBrown,0
vincestaples,0
Lu_moments,0
Peston,0
nataliaenvy,1
VeiledComic,1
PhillyTRex,1
favjerseygal,0
yieldcurve23,0
telesara,0
fruitlooplv,1
burlesque_rpg,1
venedimnikolae2,0
JessicaVaugn,0
Luvvie,1
markp____,1
KayMoneySto,1
JeanBaylor,1
foodolla,1
2000gmw,1
PaulMcCartney,0
cconley723,1
kompizan,0
heyiris,1
USTAYNHEALTHY,1
kweenklarke,1
SenFranken,1
larissavvaz,1
mzjonz75,1
styledscience,0
AlexChancexxx,0
KeithKleine,1
justcantethan,1
UnicornGlitters,1
Clara_Collazos,0
sheallen2000,1
karenkefallino2,0
bo0z0o,1
gusev_sabin,0
NickkRowell,1
MayaDimas,1
bwnyzadyqqf1714,1
Grey_Books,1
gaganxsingh,1
lienmccoy2285,1
nory2264543481,1
fkoru,1
yayaurassaya,1
pradaniel1982,1
rsm3259,1
TimBoyumTV,1
ProgrediMan,0
m_pawe,1
alexandspencer,1
JeniBohls,1
snego,0
K_Mittens,1
StefWKight,0
HEYJESSlCA,1
reinrag1a,0
DavieHanson180,1
amandasximd,0
lovebotcraft,0
RobertoBattag14,1
Country_Words,1
genkou_yuri,1
fabulush76,1
Live_Love_JC,1
mdm4ever,0
paulrgreg,1
krlik_ildik,1
EddieBiggins,1
noblesixxx76,0
lisaling,0
Studded_Angelin,0
lavonne_miesch,0
Hodaaaaa6,1
starsmoonandsun,0
bktxskhutioflq1,1
ashantysiddik,0
allenelliott,1
jonghoekjung,1
ARizzo44,1
bussaba_a,1
hade3sazan,1
maandysantoos,1
franceinter,0
syakir_Metafora,0
Arcteryx,1
ellen_jabour,0
huluwaa,1
oceandeepest,1
brunismicelli,0
camila_vallejo,0
DarmianOfficial,0
dewiesumarga,1
MiaKPlatz,0
VivienneTam,1
semsemich1,1
abati1990,1
DiarioTalCual,0
PunchDrunkRina,0
BurgerDarceytai,0
BuyskeJ,0
sopitchayajangj,1
TheKingCowShow,0
atamerica,1
pagenotpaiige,0
kat8815,1
bruciebreferee,1
gomzporn,1
BigMacFlashy,1
tethersound_,0
Bigo5_9,1
LettuceGoddess,0
paulallen1998,1
JAndersonEnergy,1
sergeibaka,0
EarlReef,1
gulsen,0
kohlenklau,0
itskelseybutler,0
maddieenunn,1
DenitsaNikova,1
Teddypinderass,1
TG3II,1
HNoVJngL8In55El,0
erangadot,1
SharonPurtill,1
therealwisener,1
Diaeresis_OTPs,0
MichaelGreens12,0
JerseyApplePie,1
ThrustfulMite,0
kryhs_v,0
luzagut_luza,0
acruzlive,1
doorsateight,1
junior_cigano,1
antonidakondra3,1
RicoSanchoPico,0
TomFletcher,1
gretsfullido,0
anamaalvarado,0
GLB62,0
abloggerblogs,1
Marie_Lu,0
ellle_eM_,0
LBorak,1
fionachuh,1
xqoqkkxjbcvvt21,0
iamjadesalon,1
martin_esquivel,1
alistopthat,1
DrMaria2001,0
daniela___caro,1
JessicaTolliver,1
JustHollieG,0
JosefinaVM,0
Kuyt,1
ughke,1
Colorsyn,0
natures_table,1
TheDrakeMorirz,1
shanewazhere95,0
queenawzq1,1
yqslawchtgsf291,1
AskPlayStation,0
AleyaWhaaatt,0
Diletta123,1
mdcvegas,1
EvelinComic,0
Mcray_Smasher,1
KalaniBallFree,0
TK_Lenae,0
tcbbjlwkxfw20,1
qhadeejah61,0
CesarBejarano21,0
nbjvhukor1066,1
Gones09,1
SUZZIRP,1
chaddaddy_,0
frcvenzunc1142,1
PhilipBloom,0
BoyGiuly,0
F6x,1
NotEasyAnswers,0
ntoutland,1
xtianbautista,0
The_ChrisBryant,1
mungan_murathan,1
carolg2419,1
DaveSappelt,0
ElliottWrong,1
yakuva48,1
lauriejfetter,1
catlopez,1
SaraNaller,0
JakubRzezniczak,0
newsladyB,0
th4ts_me_b1tch,1
B_ghllab,1
regsssy,1
Belbracon,1
AmirEid,1
MettaWorld37,1
SaraLuvsDisney,0
Jess_Bry,1
mrBrehm860,0
gtb1993,1
shbour_,1
PauloSponton,0
DOENATION_CEO,0
ashabhosle,1
SAC_PR,0
Maggerdoodle,0
jenifer07796346,1
septembersound,1
BeingSalmanKhan,1
Tamisha_Hamster,0
TheSabys,1
CortlandChien,0
fmagoo,1
augustus0861,1
Jirkko,1
tayloremathias,1
BobbyIlich,1
ericwang001,1
charlielangton,0
CindyBrunsonAZ,0
bwhiteeee_,0
BLC2789,0
Odonata76,1
_BlueEyedBlond_,1
67Malaguti,0
doyinspeaks,0
pugh_j,1
bwaybound31,1
GPLConway,1
anagcm7,1
itsgxxdy,0
EmmaMyllymaa,1
AppalaDBA,1
BlueMeanieBWO,0
MattMotyl,0
PowerGirlsNC,1
tburrus1932,1
mauresendiz,1
JosephMorgan,1
cokpicsiniz,1
tango_latte,1
Noelcarter1959_,0
simiajisafe_,1
mynameisjhu,1
thejuelzsantana,0
TheGlbtrtngAcct,1
sashacai,1
grxlfelpwbyseq1,1
Boi1da,1
ESPNFC,1
jstoltz92,1
wuddafucc,1
JoJomichelle97,1
moody2002ke,1
TehSarge,0
joeyxsb,0
nowakezone,0
therealfrandc,0
VillegasPoljak,0
DJGruuvan,1
Gessicagnanitvb,1
chiacruz14,1
ColtonLHaynes,0
Boqur,1
mxoeqjnahhoq101,1
sateIilte,1
heath_sand,1
OliviaPinupArt,0
johnson424215,1
citro_rosa,1
Cristinatoi1,1
dilkry,0
itsthotshit,1
BillzIsMyName,0
KanalD,1
chinasuarez,0
anotherWoWnerd,1
lindaikeji,1
vladimirdookl,1
bmore1051,0
chriszhou1114,1
SirAntoinne,1
RadarArthurschm,0
JonahBokaer,1
rymakenzie,1
vardy7,1
KariGoesGlobal,1
davennv,0
weezylo,1
shaniluvcorry,1
latin_lv,1
kylevogt,1
HinghamMAGOP,0
TheRusty_Nailer,0
Badr_Alzidane,1
Fvmilyblvk,0
PittGreensburg,1
VictorManuelle,0
lessoneseven,1
kkmadds,1
EliseStefanik,0
snowpointapp,1
tongkejin,1
CindyCrawford,1
CellistPond,0
bretteldredge,1
bozotboy,0
piketebow,1
ellekam,1
Angelfan984,1
bryanmouque,0
caski09,1
CabreraCraig,1
natoshagiourga2,1
LATrainer4U,1
ajgagaza,1
MACVIVAGLAMFund,1
ninnellag,1
mtvmoviefan,1
angle198427,1
winlifenow1,1
DanOlsen11,1
MyHappinessMzy,0
Dapzury,1
brubru95,1
Whispeyy_Lovee,1
Ima_Snowbunny,0
BetsySharkey,1
kmxyvskymicai71,1
CHevio_Letrry,1
RCravensIII,1
bonniegrrl,0
averagejoe3432,0
Ncaffee6,1
fasoabey,1
SzeL1,1
webster215,1
thebryanly,1
theDiBa,1
KatieRolly4192,1
TickerReport,1
ptloxqngnoszam1,1
andersson_93,1
i5666599,0
Kelly_Simpkin,0
bizcartoons,0
uscongenperth,0
hoffsox1972,0
Squidv5,1
marmelIata,1
KillinEmSlowlyJ,0
BrewerVASocial,0
relevantj,1
shawnemerriman,1
ClintBowyer,1
asliaydintasbas,1
susancoffeynet,1
MelissaSwihart,1
BAD_BOY_34,1
UranRigoberto,0
d0thathockey,0
SaraSammakia,0
salman_f13,1
YoursTrulyBroog,0
tedmed48,1
AdamAtchison,1
revraygreen,1
Jax,0
torylanez,1
featherfever,1
lemlamora,1
asalagiri,1
WeAreNorthBound,0
BlueWaterDays,1
aracelyarambula,1
R9W3Xt35FQlPbCb,1
PrimoPiccolo,0
PeterManjarres,1
nogkgosem2227,1
McKennaEubank,1
msknharris75,1
justindmorris,1
BChill728,0
carlybella_,1
Dsd_kgn,1
BMartin1776,0
AlaaAswany,1
ashleytisdale,0
ArlenePurple,1
KillahCam__,1
drummersgirl__,0
NAHJ,0
ronaldcarhuaz,1
annamorgan_duke,1
AngeliqueNadine,1
20isabelle,1
TomFelton,1
TheKatieMilano,0
paper_angels,1
DiveSiteNet,1
BrookeLVincent,0
lucila_marie,1
GlassZoie,0
FilmRevisionist,1
nikkikaray,0
Changmaryin,1
LuceroMexico,0
elisabettaragg1,1
kvandry,0
Regencells,1
PSSTChicago,1
marc_wasserman,1
harikaar008,1
____BRose,0
ChangeYResults,0
capitolReel,1
nuotloxharwf151,1
_dopechico,1
IvkovichGeri,1
AftonToxic,0
BeFreeBlogSetup,1
MustDeQuartier,0
WeRaBot,0
aaronchiii,1
OshareTecho,0
lorettalo22,1
LizGillies,0
HeyRatty,1
elsegundo311,1
VJURWA,0
armendarez_l,0
xlonun,1
bbcbrasil,0
pathak_ujjwal,1
Ak_Hareket,0
ShaiMarkowitz,1
salakern,0
jnieves001,0
karinkrr,1
BillyHo_Golf,1
joshcaron34,1
abhisar_sharma,1
wayned420,1
cynthiayip,1
sasusaku_copy,0
ALOFootball,1
tailuhhh,1
faspiras,0
TravieMcCoy,1
DANIROVIRA,0
JustinSimonson,0
ohfynkbjaje625,1
xtina,1
Sunlight_Bot,0
santone1973,1
EmmaLucyRoberts,1
MarkSinderson,0
guozi_1989,1
MsSweeetT,0
shelbeyonce_,1
BetterThanKepa,0
aleexhoze,1
cirfis,1
amlahash,0
MKEN_UEA,1
p0lylici0us,1
zigfridnekrasov,1
MelanieLawson13,1
furniture_gen,0
jda,0
AnaRitaG77,1
acasonsclass,1
emojitoemoji,0
PrivyTrifles,1
PURDUE_PINK,0
missyaller,1
Wombat_Combat95,1
lordskyman26,0
NancyHightower,1
Jason_Yan1990,0
aljencallera,1
JadeJagger,1
cvheady007,1
Cateresa777,0
kelly1783,1
guyinshock,0
mags1398,1
pretty_baby3,1
CatanoOfficial,0
JenSiebelNewsom,1
Dandr12,1
VianneLaRosa,0
CrisRodriguezco,0
ilkoallexandrof,0
JoeMcNallyPhoto,1
zaririha,0
NickLachey,1
alghuizar,1
HarryElfont,0
nihadagenc,0
JustinVerlander,1
GIOTHESAVIOR,0
ariffsuyono,0
VeeMSandoval,1
silenfoot,1
luvumoqeb,1
DeplorableDev,0
Chucklhed,0
stigguh,1
barland,1
Lazy__G__,1
funnyuaplus,1
SUdelsonWSOC9,1
trendbot,0
TonyStewart,1
PeoplesCourt79,1
ChineduIkedieze,0
bablackwood,1
AlberthieneE,1
222CASS,1
dhanush_ramuk,1
ltryee,1
charity_tyson1,0
solarpowerspork,0
zoobygooby,0
helio3008,1
RomanoJA,0
MohdShahmi_9,0
DLudwigMusic,0
Pocket,1
Ezra_blevins17,0
stoipa,0
JBinAV,0
AlexWVC,1
renbaibai,1
bchinnaiyan1361,1
DanAngus91,1
linxigol,1
TheRealMikeEpps,0
strattdi,1
30minutemix,0
EmilWilbekin,1
RuNurse25,0
cj28_,0
jasonburglar,1
KearseSherrie,0
mobasharahmed,0
narniall,0
marianasunc,1
bbslzupkxjz2642,1
jogjabatiknet,0
debz526,1
rafaelfotoearte,0
TPAIN,0
MikeCairns5,1
CPSNetwork7,1
MaryNYC1,1
HTCNewsletter,0
ilbolly,0
UnlikelyPowers,1
USANEWS007,1
edwardmenendez,1
AliceDiana12,0
grupocostumbre,0
ObamaLivesOn,0
ducidnixx,1
RealAlecBates,1
angie_geminii,1
bris1124,1
LILUZIVERT,0
tpeterson207,1
JoelEmbiid,1
slimedemon,0
Fuckmyjobsuckit,1
_hubernhard_,1
lilangel198329,1
TheaRodgers,1
marstu67,0
tkbaapkdtchz111,1
soulynG,1
ACEMoney1138,0
kiss,0
thibautcourtois,1
bleona,1
JohnrayJ,0
_liddoboss,1
emily_dawn,0
crisp__y,1
uselessdoug,0
bcheungz,0
LochNelMonster,0
blog_takara,1
Alejandro_Lelo,0
hashfacade,0
hyuckilvr,0
2fistedstories,0
tinyskylines,1
teambrwnapparel,1
dailyoblo,1
SwordyMeeks,0
KwikGoal,1
CloseToFlower1,1
glawion_tambra,0
famousduos,1
bradybil85,1
ZjnSqA0yOlBfxK6,0
zmithzeven,1
RWHomebuyers,1
altamiranok94,0
AlisonSudol,1
98Issues,1
Trophieboi,1
dyghazar,1
shibatakeru,1
ForksFlash,0
erica_dewey,1
drayray_,1
armgroupinc,1
garcia7786,1
syamsiralam,1
Chev_Chelios7,1
brianavcampbell,0
Leoo_Cleoo,1
nagashima21,0
NikolayMoss,0
beatsbydre,1
a_kamesaki,1
smASHley_Thomas,1
CourtneyBastock,1
ChristynRoyce,1
wlbingqilin,1
jaxee_,0
korxsy,1
pcandmacrepair,1
amoralesan,1
Numb_2_Da_World,1
gtozixlc2528,1
PaulRiveraNews,0
Konrad54763387,1
TolgaCevik,0
iamTOCCARA,0
WeRockRadio,1
Swv_nk,1
AdryaSarmento,1
AxelKuschevatzk,0
Grammarly,1
AleksandrZorin,1
glitteeergabby,0
bautistalouis7,1
WalcyrCarrasco,0
hobistear,1
shirooooshi,1
ShirtShackInc,1
bchateaubriand,1
RvN1776,1
BillyClarksonnn,0
brunoficodindia,1
masked_llama,0
andresoriano,0
buenothebear,1
Srta_Manu,0
gusmills,1
MysticKid,0
ACWS45,1
MizzTwerksum,0
pziepuwod2641,1
MercuryRising73,0
tavleen_singh,1
chriscornell,0
Dava_trenae,1
ScottKaplan,0
Syroid,1
tre_cub,1
grimmvadah,1
DandaFunk,0
markseibel,1
JohnnyModerate,0
GiuliettaSkype,1
___budda,1
maxena_medley,0
BenDummett,1
sn_mngkng,1
SmTTuna16,1
KyleBMercier,1
davidguapo,0
maliarooms,0
oclebermachado,0
CoachEavesCCMS,0
DawsonHatzman,1
xxxdroxypro,0
IndyWolfy,1
BoozerBill,1
briightttt,1
TeslovichJoel,0
BroScienceLife,0
Eng_kboora,1
caribbeanss,1
_Mauriciorib,0
mi2mi5,1
ItsStillMefa,1
TBiggersIoB,1
Puppy_Ray,1
MyClientsLoveMe,1
raffa_brigante,1
ConorMaynard,0
andrew_beard,1
faisalislam,0
STU_ACTOR,0
GustavoEstrella,0
KBTheBooBonic,0
Beauttykills_,1
JessBecause8,1
Shataya13m,1
maxgladstone,0
Courtney,0
IAmCattSadler,0
FeeleyMeghan,0
Jeny_pacheco,1
Camy_Wamy,0
CaitlinMyNBC5,1
lorisussle,0
SinghLions,0
luchofergar,1
eab_navi,1
jaugustopires,0
Equivo_Kate,1
WhenWeAllVote,1
anelio12,1
khodriashovic,1
Bezmelnitsin,0
iStefPayne,0
warrenellis,0
Albalushi92H,1
ponamen,0
torrianas,1
iJovita,1
DebbieOutdoors,1
RashedTV,0
ceinwenmannall,1
giana00134giana,1
AnnalynKurtz,1
iwokeupinacar13,1
alpkirsan,0
ArielRodriguez,0
TuckerAng,1
RodgersPuppy,1
MrTeller,1
MichaelLeeNews,0
keithboykin,1
TayrlaneF,1
Dougie657,0
27729404008,1
JonahElrod,1
sablemerald,1
GeoArmenta,1
chillichou,1
marwanbishara,1
thiccvegan_,0
bvanmatre29,1
MaryRissen,1
MichaelEssien,1
ipansu,0
MiiBlinn,0
RicardoMedinaNS,1
aldenrichards02,0
alic2583,1
DaneCook,0
vincichen1231,1
LianeCarr3,0
HypnoAle,0
baronjimena,0
MISSCOOKIE1223,0
DavidASEM,1
jeremygutsche,1
NeriZilber,0
TheGregFlynn,0
CamiEsteevez,1
1051_1051,1
Jakkaru7,0
bestseotoolco,1
thometz_sr,0
PiedrahitaLuis,0
psicodelica_lt,1
serenalikespie,1
KSAbomination,1
tdmrussell,1
JessaGarciano,1
SueTsai,1
NiteAlps,0
JohnWall,1
CeddyB64,0
dignityrivero,1
EmrahSerbes,0
BaconOliva,0
Legend_Barkhuff,1
patna_ranjeet,1
houseofbuddy,0
ESPNBrasil,1
KalimbaMX,0
donita01583265,0
nashkalina,0
lzroyy,1
jydozaquwaza,0
schnakebitten,1
SamuelJSteggall,1
BID_Idear,0
neil_bigaouette,1
vmZthotwpg4YwaK,0
miyugoroo,1
Ha_Rudy1,1
boscolouisa,0
CARPINEJAR,0
5438847,1
rosiiedr,0
chrislane883,1
unniphilip,1
Blackdogptf,0
SpitfireSays,1
enzo1678,1
CocktailHeroes,0
mikaaaela01,1
genevievemorton,1
LucaEliaTattoo,1
miamidadsgroup,1
SheIsChuchu,1
_papillonlune,0
ClemsonSports,0
paro_nair,1
ahouseofdust,1
KaitlynnPharo,1
RyanCSWS,1
ivanchung007,1
EmoDaBarber,1
Missile_Breish,1
rldrmsdl,1
professorgreen,1
tisthecontinent,1
dsobek,1
xbriannaaven,1
albertonigianne,1
787_to_the_203,1
Tzzy__,0
TonioloMelita,0
G7XIyxvRaW0xrYW,0
javiermayorca,0
jinyang930906,1
MyEclipsedHeart,0
crimibility,1
astrology_bot,0
AdamNikki2,1
AndraDayMusic,1
mjnblack,1
anitahasnandani,1
CozyRy,0
YourGMJay,1
RoonilWazlib02,0
JaredPaggi,1
ReesesPOV,0
jehovahslim,1
KadurBasis,1
lguisbond,1
scotthetsko,1
atira_latrese,1
jhcjax,1
oloapmarchi,1
Cresslaan,1
EvaHerzigova,1
ultramold,0
ladyguenivere,1
Level_Oliviabus,0
CharlesRobinson,0
Playshis,1
MixStar24,1
AO_FIGJAM,1
JhonSjbt,1
AnneGlenn74,0
chronicbaddie,1
traviku,1
raphael_gpontes,1
DanielGennaoui,1
chriscoyier,0
NewYorkS0ul,1
aglaidashubina2,1
Eagle_Puchajda,0
hsjncbtn204,1
therealgeish,0
ManagersDiary,1
Keith_Carlos,1
ByJoFagg,0
CatamountTrail,1
marisabrel,0
vangoe,0
sneijder101010,1
MY_MURMUR,1
MetinOktay_Gala,1
cvojygvm2909,1
Metabolic_Man,0
DaiFay,1
lavenderr90,1
jeffboom1,1
karl_stine,1
Ryanbabel,1
sexii_Fitness,1
showerghost,1
kikklelista,1
JeffKurzon,1
Sumforall,1
stewartejones,0
ChargerBoi502,1
MaherZain,1
mimian2009,1
KINGBIZ,1
njpndn,1
Stunt8M,1
mayracardi,0
ytaloyuri,1
E_c_h_o,0
charlesischilln,1
jackie_sill17,0
merkushevaermi2,1
didsc_6,1
Tonedezzy,0
LilianPacce,0
ThisIsWhatIDox2,1
KadirMisiroglu,0
SmoothUnicode,1
ssjzldyeahsds71,1
vohoang1989,1
gcba,1
DistinctlyD,0
MaxkMissez3,1
huertanix,0
1D_Beards,0
Hubery_Hou,1
a_sayyad,1
LPNational,1
NPollard78,0
SeanBlakeslee,1
unzhe,1
rubyriz,0
duarteamanda,1
BoogerBottom,1
SelfxXxplicit,0
DMVMOSTFAMOUS,0
cbot125,1
balletrusse,1
RepJudyChu,1
GoOutsideBot,0
iDgitalHeroGame,0
SeituArt,1
HalSparks,0
Haush13838782sh,1
techphix,1
Hacker_Erik,1
ArabNetME,1
JohnBran16,1
robinlundberg,1
Candi_Latrice,0
WilbanksJacelyn,1
beitacampos,1
MonicaHuffman,1
dbarman,1
ILLxWillBrooks,1
jerrytrainor,0
trufelman,1
dentista46,1
mojo7795,0
The_King_Capper,0
x_markdaspot,0
goldchainam,1
billsouvas,1
maggieNYT,0
TraderA10C,1
elkasinger,1
OlathePolice,1
AWood217,0
NaDaSHoT,0
263446828Banana,1
jandry7428,1
Gberg2119,1
AnhDangSSS,1
EpxZqnk,1
drippingdillon,1
SamWoodIII,0
tiffanytruong_,0
ANNA_SEDOKOVA,0
saraachartz,1
HEJ_Xoxo,0
TheHoney215,0
Sandrinamazaya1,0
dlaflamee,1
WhereTruthRulz,1
mmtare,1
unvxsrhs2064,1
_AlexisColin_,1
ChrstnMntlv0,0
jennadewan,1
just4girls1,0
CristyDanford,1
TabathaWaters98,0
Shapahealth,0
brandyland10,0
wildflowersbot,1
shine527922447,1
PasadenaPD,1
vvutykaddrqyxd1,1
aeduardapereira,1
Shakshi_Shah,1
andegorov,1
davydovalvin1,1
TechnoConniewhi,0
TobiePuppy,0
CherilynnCheri,1
Shirtikvahed,1
chandoo81,1
sctrke1,0
MonaDorscheid,0
entrena,0
francoliu21,1
lesleyravet,1
coreyelvis,1
wee_angus,1
AmackerDanny,1
IamNovel,1
contrarian_mind,0
shahidkapoor,1
elenascott4,1
EH3H,0
KreeBeau,0
TatoCepeda,0
masri_amanda,1
DerikFein,1
BVinolan,0
mrjturkish,0
BlackthornStem,1
LupoLupo14,1
sefikavnikilic,1
IMeSayIt,1
StevviAlexander,0
Facu_AzZ0,1
Hs6bOmOtblgp9Dt,0
PostModernTwitr,0
theheilstyle,0
trillmadeg,1
Rustemka,1
lordfIcko,1
AlexandraFansWW,1
genrenator,0
iFanessa,1
ggronk_,0
ng1susan,1
o0fXkzyjYpxI1hb,0
shortblonde79,1
japhygrant,0
dakoko25,0
Racist_Randy,0
KisNikolett2,1
Naturalistos,1
jsolomonReports,1
seanallan8781,1
grandmachris7,1
themarcjacobs,1
N_Takao_Bot,0
MTV,1
RealAndrewMeyer,0
oddnysunna,1
JEANVINEY,1
OneLoveBoulder,1
ashtonislife_,1
kimmiekubs77,1
aserrano1001,1
ZackShapiro,1
BelleBeast99,1
Obey_miss_missy,1
valkyrienoeIIe,0
khloe,0
pnp07,1
Johnquigley24,1
chadmendes,1
danialjackson,1
CrystalRyuu,0
LucasLeiva87,1
peterjames08,1
TJZAosYAQjsi5lr,0
Stylebybelen,1
Inspiras_,0
robbystarbuck,1
Jerm_Jilla,1
Fulfledged,1
rcaqltuhrywt261,1
GkLakon,0
magnet0r,0
ElenaChervonova,1
HOTtamaleTRAIN,1
alekseyihysem,1
john__rosevear,0
feelingsoutz,0
KIM1220SENGJUN,1
NivinOfficial,1
CSPANFive,0
twerkjadatwerk,0
BloodMoney23,1
The_Homie_Jared,1
haeyuan,1
His_Addiction94,1
IamSandra409,1
dukeyc,1
lmk7796,0
axgqz,1
Irichan,0
meljstevens,1
KimberlySteward,0
Yankees_2020,0
ELyons72,1
whoreleekikwang,0
CAusoni,0
AntonnioM_,0
ddaquanesed9,1
rob808_2002,1
Lily_Ju0122,1
TheJakeChristie,0
camilogarcia,0
nikuteArTeVs4p0,1
terrywhalin,1
adriennemeraki,1
lynnvandeweyer,1
keani_cochelle,0
candymanat,1
LinaMurrey12,1
EthanolRFA,1
DevonESawa,1
sashafoxx,1
KelsReyes,0
superglaze,0
alanpulido,0
Khanoisseur,1
NiNiDiane,1
EaganBuckminste,1
CesarChavezAZ,0
MultiAlumniWill,0
AsconaBabi,0
_YoungPeterr,1
JmeBBK,0
realpreityzinta,1
lulifernandezok,0
ivenhua,1
BriannaYorke,1
moniqueite,1
davinitym,1
etstark,1
sherrik2326384,1
Dimissas,1
irabrianmiller,1
autodoyle,1
LilyMDonaldson,1
OnlineBaitShop,1
RodriguezJungle,1
MchughDiane,1
TreyCalico,0
zuevagaiya1989,0
GreggsOfficial,1
james_riley12,1
TimDuffy,0
caromurgas,0
pfb360,0
carricblue,1
graceninjabbit,0
natehuffx,0
RiCHReDDATL,1
aurikakirillov4,0
theLDMicro,1
yjzvqvtsuslvx11,1
JoseGIHP,1
wilycyotee,1
RoxanneCastille,1
BrightRedStar1,1
fehlimonada,1
Intense_XEnergy,1
Moria_Casan,0
Junior15640582,1
Maryam_Dadar,1
kc0wir,0
LoneRune,1
govindps,1
Rude_Boy31,1
J_Insider,0
dreesen_ellyn,1
aespillers,1
yutsai,1
FabianoBaldasso,0
JSLibGenerator,0
happy_botday,1
nataliegalpern,1
cher,0
faeriefacee,0
EliteMixing,0
mckenziekatie3,1
deathvaders96,1
555zips,0
christinaderosa,1
AprilMaystrom,0
Traceyb2225,1
AurelieSai,1
rebekahaha,1
Chllngrs4Change,1
MrsOtogo,1
hecrmz,1
Aich1974,1
pamela_towmsqn,1
mehdirhasan,0
caguilar602,1
Ina__Schnitzer,0
brandonbrre,0
orhenderson,1
super_wangyu,1
2c2342e85d2d444,1
SylDay,0
AFixe10,0
BotRevolucion,0
NasehatHebat,0
roscoffo,1
usabasketball,0
juantorrealva,1
JLoesser,0
Kindallb6,1
mdjaxon,0
vkfkekdltm64,1
feeeeeelickss,1
ovjbs,1
lauraclise,1
CatherineOCon15,0
JanetRWojcikPhD,1
Lightbothouse,0
SultanPopi,1
